recipe_title,description,num_steps,combined_text,ingredients_raw,cuisine_list,tastes,cook_speed,est_cook_time_min,difficulty,dietary_profile,healthiness_score,health_flags,health_level
4 Ingredient Air Fryer Pepper Poppers,"These 4 ingredient air fryer pepper poppers have all the flavors you love in a popper but without the heat. If you like a tad of heat, feel free to add some pepper Jack cheese to the mixture. These will be the first thing to disappear at your next watch party.",4,"4 ingredient air fryer pepper poppers air fryer recipes air fryer appetizer and snack recipes 1 bell pepper, any color 8 ounces cream cheese, softened 1 (1 ounce) packet ranch dip mix 2 teaspoons bacon bits preheat an air fryer to 390 degrees f (199 degrees c) according to manufacturer's instructions. quarter the bell pepper lengthwise. remove stem, membrane, and seeds; discard. cut each quarter in half lengthwise. mix cream cheese, ranch dip mix, and bacon bits together in a bowl until evenly combined. using a spoon, divide mixture between pepper slices, about 1 1/2 to 2 teaspoons per slice. place stuffed bell peppers in the basket of the air fryer. cook until cheese filling is lightly browned, 8 to 10 minutes. check after 8 minutes as air fryers vary.","[""1 bell pepper, any color"", ""8 ounces cream cheese, softened"", ""1 (1 ounce) packet ranch dip mix"", ""2 teaspoons bacon bits""]","[""american"", ""american_region"", ""european"", ""french""]","[""savory"", ""umami""]",fast,27,medium,"[""gluten_free"", ""nut_free""]",62,"[""plant_based"", ""fried"", ""processed_meat""]",moderate
Air Fryer Bell Pepper Poppers,"When you want an appetizer, try these air fryer bell pepper poppers. Not everyone can take the heat of jalape?ño peppersƒ??no worries, though! Use brightly colored mini bell peppers, fill them with Boursin herb-flavored Gournay cheese, and add just a little piece of bacon to the top. Air fry in a single layer, cooking in batches, depending on the size of the air fryer.",4,"air fryer bell pepper poppers air fryer recipes air fryer appetizer and snack recipes 9 mini pepper mini bell peppers 5.2 ounce gournay cheese 6 slices bacon, each cut into 3 short pieces fresh parsley for garnish (optional) preheat the air fryer to 400 degrees f (200 degrees c), according to manufacturer's directions. slice each mini-pepper in half, from stem to tip. remove membranes and seeds. fill each mini-pepper with boursin and place a piece of bacon on top. place filled mini-pepper halves in a single layer in the air fryer and cook until bacon is as crisp as you like, 8 to 12 minutes. air fry in batches, if necessary. place on a serving platter, garnish with parsley, and serve warm.","[""9 mini pepper mini bell peppers"", ""5.2 ounce Gournay cheese"", ""6 slices bacon, each cut into 3 short pieces"", ""fresh parsley for garnish (optional)""]","[""american"", ""american_region"", ""mediterranean"", ""middle eastern region""]","[""savory"", ""umami""]",medium,47,medium,"[""gluten_free"", ""nut_free""]",68,"[""plant_based"", ""processed_meat""]",moderate
Air Fryer Buffalo Cauliflower,Air fryer Buffalo cauliflower ƒ?? a clever way to get your veggies without sacrificing that saucy flavor you love with buffalo wings. We always serve this with celery and carrot sticks and our favorite blue cheese dressing.,6,"air fryer buffalo cauliflower air fryer recipes air fryer appetizer and snack recipes ?« cup buffalo wing sauce (such as frank's) 1 tablespoon butter, melted 1 teaspoon honey 1 (2 pound) cauliflower, broken into florets ?¬ cup all-purpose flour ?¬ cup cornstarch 1 teaspoon garlic powder ?« teaspoon seasoned salt (such as lawry's) ?¬ teaspoon paprika drizzle of buffalo wing sauce (optional) combine hot sauce, butter, and honey in a large bowl; whisk until well combined. add cauliflower florets and stir until well coated. combine flour, cornstarch, garlic powder, seasoning salt, and paprika in a separate bowl, stirring well. gradually sprinkle the flour mixture over the cauliflower florets, tossing until all florets are coated. preheat the air fryer to 390 degrees f (195 degrees c). spray the fryer basket with olive oil spray or line with a parchment liner. transfer cauliflower florets to the air fryer basket in a single layer, making sure not to overcrowd the basket, so they'll crisp up and not turn soggy. air fry for 10 to 15 minutes, shaking the basket several times until the florets are lightly browned. they should be crispy, but not overcooked or mushy. you may have to cook in batches depending on the size of your air fryer. time may vary depending on the size and brand of your air fryer. give the cauliflower a light drizzle of buffalo wing sauce when they come out of the air fryer, if desired. serve with your choice of a creamy dipping sauce.","[""?« cup Buffalo wing sauce (such as Frank's)"", ""1 tablespoon butter, melted"", ""1 teaspoon honey"", ""1 (2 pound) cauliflower, broken into florets"", ""?¬ cup all-purpose flour"", ""?¬ cup cornstarch"", ""1 teaspoon garlic powder"", ""?« teaspoon seasoned salt (such as Lawry's)"", ""?¬ teaspoon paprika"", ""drizzle of buffalo wing sauce (optional)""]","[""american"", ""american_region"", ""asian"", ""european"", ""french"", ""greek"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""sweet"", ""spicy"", ""savory""]",fast,33,medium,"[""nut_free"", ""halal"", ""kosher""]",54,"[""plant_based"", ""healthy_fats"", ""sugary"", ""fried""]",moderate
Air Fryer Spanakopita,The classic Greek appetizer spanakopita can easily be made in the air fryer.,6,"air fryer spanakopita air fryer recipes air fryer appetizer and snack recipes 2 (10-ounce) packages frozen chopped spinach, thawed and squeezed dry 1/2 cup feta cheese 1/2 cup shredded mozzarella cheese 1/2 cup grated parmesan cheese 1 clove garlic, minced 1 (1 pound package) frozen phyllo dough, thawed 1/2 cup unsalted butter, melted tzatziki sauce for serving fresh dill for serving for filling, stir together spinach, feta, mozzarella, parmesan, and garlic in a bowl. line a baking sheet with parchment paper. arrange 1 sheet of phyllo on a clean work surface and brush lightly with some of the melted butter. top with 2 more phyllo sheets and more butter. cover remaining phyllo with a damp towel while you work. cut phyllo stack lengthwise into 3 (3-inch-wide) strips. spoon about 1 tablespoon filling at the bottom of each strip. take the bottom right corner and fold the dough over the filling to make a triangle. fold the bottom left corner up to make another triangle. continue folding until all the dough is folded. arrange spanakopita, seam side down, on the prepared baking sheet. lightly brush with butter. repeat with remaining phyllo, filling, and butter. preheat air fryer to 375 degrees f (190 degrees c) arrange spanakopita in an even layer in the air fryer basket, working in batches as needed. cook, turning once halfway through, until spanakopita is golden brown, 12 to 15 minutes. cool slightly. serve with tzatziki sauce and dill.","[""2 (10-ounce) packages frozen chopped spinach, thawed and squeezed dry"", ""1/2 cup feta cheese"", ""1/2 cup shredded mozzarella cheese"", ""1/2 cup grated Parmesan cheese"", ""1 clove garlic, minced"", ""1 (1 pound package) frozen phyllo dough, thawed"", ""1/2 cup unsalted butter, melted"", ""tzatziki sauce for serving"", ""fresh dill for serving""]","[""asian"", ""european"", ""french"", ""greek"", ""italian"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""savory"", ""umami""]",medium,53,medium,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",72,"[""plant_based"", ""fried""]",moderate
Air Fryer Samosas,Use your air fryer to make Indian samosas - this version is vegetarian with potatoes and peas but you can cook any samosa in the air fryer.,7,"air fryer samosas air fryer recipes air fryer appetizer and snack recipes 12 ounces yukon gold potatoes, 1 tablespoon extra-virgin olive oil 1/2 cup onion 1 teaspoon fresh ginger 2 cloves garlic, minced 1 teaspoon garam masala 1/2 teaspoon cumin 1/4 teaspoon salt 1/8 teaspoon cayenne pepper (optional) 2/3 cup frozen peas, thawed 1/4 cup fresh cilantro, plus more for garnish 24 wonton wrappers cooking spray add potatoes to a small saucepan and cover with salted water; bring to a boil over high heat. reduce heat and simmer 10 minutes or until fork-tender. drain and transfer potatoes to a bowl; mash until mostly smooth with a few small chunks remaining. in the same saucepan, heat oil over medium heat. add onion and cook, stirring occasionally, until tender, 3 to 4 minutes. stir in ginger and garlic; cook until fragrant, about 30 seconds. add garam masala, cumin, salt, and (if using) cayenne; cook about 30 seconds more. stir in mashed potatoes and peas; cook until warmed through. remove from heat; stir in cilantro. arrange wonton wrappers on a clean work surface; evenly spoon filling into centers of wontonwrappers. lightly wet borders of wrappers withwater. fold two corners together to form triangles. press edges to seal. coat both sides of samosas with cooking spray. preheat air fryer to 350 degrees f (175 degrees c). coat air fryer basket with cooking spray. working in batches if needed, arrange samosas in an even layer in the basket. cook, turning once halfway through, until samosas are golden brown and crispy, about 8 minutes. meanwhile, combine yogurt, cilantro, lime zest, lime juice; garlic, salt and pepper in a small food processor; process until well combined. chill, covered, up to 5 days. serve samosas with cilantro-yogurt sauce. garnish with additional cilantro.","[""12 ounces yukon gold potatoes,"", ""1 tablespoon extra-virgin olive oil"", ""1/2 cup onion"", ""1 teaspoon fresh ginger"", ""2 cloves garlic, minced"", ""1 teaspoon garam masala"", ""1/2 teaspoon cumin"", ""1/4 teaspoon salt"", ""1/8 teaspoon cayenne pepper (optional)"", ""2/3 cup frozen peas, thawed"", ""1/4 cup fresh cilantro, plus more for garnish"", ""24 wonton wrappers"", ""cooking spray""]","[""american_region"", ""asian"", ""caribbean"", ""chinese"", ""european"", ""greek"", ""indian"", ""korean"", ""mediterranean"", ""middle eastern region"", ""thai"", ""turkish""]","[""spicy"", ""sour"", ""savory""]",fast,110,hard,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",84,"[""plant_based"", ""healthy_fats"", ""fried""]",healthy
Air Fryer Roasted Vegetables with Gremolata and Red Pepper Aioli,Air fryer roasted vegetables come out wonderfully crisp and tenderƒ??paired with homemade gremolada and red pepper aioli they make a tasty appetizer or side.,6,"air fryer roasted vegetables with gremolata and red pepper aioli air fryer recipes air fryer appetizer and snack recipes 1 medium zucchini, 1 medium summer squash, 1 (8- ounces package) cremini mushrooms, halved or quartered if large 3/4 cup cauliflower florets 6 any color mini bell peppers 2 teaspoons vegetable oil 1/4 teaspoon salt 1/4 teaspoon ground black pepper 1/2 cup chopped fresh parsley 2 teaspoons minced garlic 2 teaspoons lemon zest preheat air fryer to 360 degrees f (180 degrees c). combine zucchini, summer squash, mushrooms, cauliflower, bell peppers, oil, salt, and black pepper in a bowl; toss to coat. arrange vegetables in an even layer in the air fryer basket, working in batches if needed. cook, turning once halfway through, until tender, about 10 minutes. meanwhile, for gremolata, stir together parsley, garlic, and lemon zest in a small bowl. for red pepper aioli stir together mayonnaise, roasted red peppers, olive oil, red wine vinegar; and garlic in a small bowl. top roasted vegetables with gremolata and serve with red pepper aioli.","[""1 medium zucchini,"", ""1 medium summer squash,"", ""1 (8- ounces package) cremini mushrooms, halved or quartered if large"", ""3/4 cup cauliflower florets"", ""6 any color mini bell peppers"", ""2 teaspoons vegetable oil"", ""1/4 teaspoon salt"", ""1/4 teaspoon ground black pepper"", ""1/2 cup chopped fresh parsley"", ""2 teaspoons minced garlic"", ""2 teaspoons lemon zest""]","[""asian"", ""european"", ""filipino"", ""french"", ""greek"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""sweet"", ""sour"", ""bitter"", ""savory""]",fast,33,medium,"[""vegan"", ""gluten_free"", ""nut_free"", ""kosher""]",84,"[""plant_based"", ""healthy_fats"", ""fried""]",healthy
Crab Rangoon in the Air Fryer,"Crab rangoon turn extra crispy when cooked in the air fryer. Filled with crab, cream cheese, and spices these little crab puffs are a tasty Chinese-American treat.",6,"crab rangoon in the air fryer air fryer recipes air fryer appetizer and snack recipes 1/2 cup apricot fruit spread 1 tablespoon chili-garlic sauce 1 tablespoon less-sodium soy sauce 1/2 teaspoon orange zest 2 tablespoons freshly squeezed orange juice (from 1 orange) 4 ounces cream cheese 4 ounces crabmeat, drained 2 tablespoons chives 2 teaspoons orcestershire sauce 1 clove garlic, grated (about 1/2 teaspoon) 1/4 teaspoon ground black pepper 1/8 teaspoon salt 18 wonton wrappers cooking spray stir together apricot spread, chili-garlic sauce, soy sauce, orange zest, and orange juice in a small bowl for the dipping sauce. preheat air fryer to 350 degrees f (175 degrees c). stir together cream cheese, crab, chives, worcestershire, garlic, pepper, and salt in a bowl for the filling. arrange 6 wonton wrappers on a work surface. keep remaining wrappers covered until ready to use to prevent them from drying out. spoon about 2 teaspoon crab filling in center of each wrapper. lightly wet borders of wrapper with water. bring together the 2 opposite corners of the wrapper over the filling and seal together. bring remaining 2 corners up toward the center, sealing edges of the wrapper to enclose the filling. repeat with remaining wrappers and filling. working in batches if needed, coat dumplings with cooking spray and arrange in an even layer in the air fryer basket. cook until dumplings are crispy and golden brown, about 8 minutes. serve with sauce.","[""1/2 cup apricot fruit spread"", ""1 tablespoon chili-garlic sauce"", ""1 tablespoon less-sodium soy sauce"", ""1/2 teaspoon orange zest"", ""2 tablespoons freshly squeezed orange juice (from 1 orange)"", ""4 ounces cream cheese"", ""4 ounces crabmeat, drained"", ""2 tablespoons chives"", ""2 teaspoons orcestershire sauce"", ""1 clove garlic, grated (about 1/2 teaspoon)"", ""1/4 teaspoon ground black pepper"", ""1/8 teaspoon salt"", ""18 wonton wrappers"", ""cooking spray""]","[""asian"", ""chinese"", ""european"", ""filipino"", ""french"", ""japanese"", ""korean"", ""vietnamese""]","[""sweet"", ""spicy"", ""sour"", ""savory"", ""umami""]",fast,43,medium,"[""gluten_free"", ""nut_free"", ""halal""]",76,"[""plant_based"", ""fried""]",moderate
Air Fryer Crispy Pickle Chips with Creole Dipping Sauce,Crispy pickle chips easily cooked in the air fryer. Serve with homemade Creole dipping sauce for a tasty snack.,4,"air fryer crispy pickle chips with creole dipping sauce air fryer recipes air fryer appetizer and snack recipes 1/2 cup flour 2 large eggs 1 cup panko bread crumbs 1 (16- ounces jar) reduced-sodium dill pickle chips, drained 1/4 cup mayonnaise 1 tablespoon mustard preheat air fryer to 350 degrees f (175 degrees c). lightly coat air fryer basket with cooking spray. put flour in a shallow dish. in a second shallow dish, lightly beat eggs. in a third shallow dish, add panko. pat pickle chips very dry. coat pickles in flour, shaking off excess. dip in eggs, allowing excess to drip off. toss in panko, lightly pressing to adhere. arrange pickles in the air fryer basket in an even layer (do not overcrowd), working in batches if needed. cook until pickle chips are golden brown, about 6 minutes. meanwhile, stir together mayonnaise, creole mustard, lemon juice, and smoked paprika in a small bowl. serve dipping sauce with pickles.","[""1/2 cup flour"", ""2 large eggs"", ""1 cup panko bread crumbs"", ""1 (16- ounces jar) reduced-sodium dill pickle chips, drained"", ""1/4 cup mayonnaise"", ""1 tablespoon mustard""]","[""asian"", ""european"", ""german"", ""greek"", ""japanese"", ""middle eastern region""]","[""sour"", ""savory"", ""umami""]",fast,63,medium,"[""vegan"", ""nut_free"", ""halal"", ""kosher""]",74,"[""plant_based""]",moderate
Air Fryer Sweet Potato Chips,Use your air fryer to make these yummy sweet potato chips. After much experimenting I found that the best chips came from a mandoline that was set just a hair thicker than 1/16 inch (about 3/32 inch thick).,5,"air fryer sweet potato chips air fryer recipes air fryer appetizer and snack recipes 1 (8 ounce) sweet potato 1 tablespoon canola oil 1/4 teaspoon sea salt 1/4 teaspoon freshly ground black pepper cooking spray slice potato into 1/16-inch-thick rounds using a mandoline. put potato slices in a large bowl of cold water; soak about 20 minutes. drain and pat dry with paper towels. wipe out bowl. return potato slices to dried bowl. add oil, salt, and pepper; toss gently to coat. preheat air fryer to 350 degrees f (175 degrees c). lightly coat air fryer basket with cooking spray. working in batches if needed, arrange potato slices in an even layer in basket (do not overcrowd). cook until lightly golden and crispy, 12 to 16 minutes, turning and rearranging chips into an even layer every 4 minutes. watch closely during the last 2 to 3 minutes of cooking. check chips about every 30 seconds, using tongs to remove golden chips from the basket as needed to avoid overcooking and ending up with bitter chips. let chips cool about 5 minutes. chips will continue to crisp as they cool.store in an airtight container up to 3 days.","[""1 (8 ounce) sweet potato"", ""1 tablespoon canola oil"", ""1/4 teaspoon sea salt"", ""1/4 teaspoon freshly ground black pepper"", ""cooking spray""]","[""unknown""]","[""sweet"", ""savory""]",medium,47,medium,"[""vegan"", ""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",68,"[""plant_based"", ""fried""]",moderate
Air Fryer Green Bean Fries,"Green bean fries get extra crispy when cooked in the air fryer. Fresh green beans are first parboiled, then seasoned, air fried, and served with a special sauce.",6,"air fryer green bean fries air fryer recipes air fryer appetizer and snack recipes 1 lb. fresh green beans, trimmed 1/2 cup water 1 cup flour 1 large egg 1/3 cup milk 2 cups bread crumbs 1 teaspoon chili powder 1 teaspoon garlic powder 1 teaspoon onion powder 1/4 teaspoon salt cooking spray lemon wedges for serving combine beans and water in a saucepan, cover, and bring to a boil. cook until beans are bright green and crisp-tender, about 4 minutes. drain and transfer to a bowl of ice water. preheat air fryer to 375 degrees f (190 degrees c). put flour in a bowl. in another bowl, whisk together egg and milk. in a third bowl, stir together bread crumbs, chili powder, garlic powder, onion powder, and salt. drain beans and pat dry with paper towels. toss beans with flour to coat, shaking off excess. dip into egg mixture and then into bread crumbs to coat, shaking off excess. working in batches if needed, arrange beans in an even layer in the air fryer basket and lightly coat with cooking spray. cook, turning once halfway through, until golden brown, about 4 minutes. (if you like, keep fries warm in a 250 degrees f (95 degrees c) oven.) meanwhile, stir together mayonnaise, ketchup, mustard, minced pickle, steak seasoning, and cayenne pepper in a small bowl for special sauce. serve green bean fries with special sauce and lemon wedges.","[""1 lb. fresh green beans, trimmed"", ""1/2 cup water"", ""1 cup flour"", ""1 large egg"", ""1/3 cup milk"", ""2 cups bread crumbs"", ""1 teaspoon chili powder"", ""1 teaspoon garlic powder"", ""1 teaspoon onion powder"", ""1/4 teaspoon salt"", ""cooking spray"", ""lemon wedges for serving""]","[""american"", ""american_region"", ""asian"", ""european"", ""german"", ""greek"", ""korean"", ""middle eastern region"", ""vietnamese""]","[""spicy"", ""sour"", ""savory"", ""umami""]",fast,67,hard,"[""nut_free"", ""halal"", ""kosher""]",84,"[""plant_based"", ""fried""]",healthy
Air Fryer Honey Garlic Chicken Wings,"These crispy air fryer honey garlic chicken wings are a flavor explosion in your mouthƒ??the perfect combination of crispy, juicy chicken wings and a sticky-sweet honey garlic sauce, with just the right amount of heat from cayenne pepper. These wings are easy to make in the air fryer and will satisfy all your cravings for a tasty and indulgent snack. Whether you're hosting a party or just looking for a delicious appetizer, these wings are sure to impress your guests and have them begging for the recipe!",7,"air fryer honey garlic chicken wings air fryer recipes air fryer appetizer and snack recipes 1 tablespoon baking powder 1 teaspoon salt 1/2 teaspoon black pepper 1/2 teaspoon garlic powder 1/2 teaspoon paprika 1/4 teaspoon cayenne pepper 2 pounds chicken wings 1/2 cup honey 1/4 cup soy sauce 2 cloves garlic, minced 1 tablespoon ginger root 1 tablespoon cornstarch 1 tablespoon water 2 tablespoons green onions preheat the air fryer to 400 degrees f (200 degrees c). mix baking powder, salt, black pepper, garlic powder, paprika, and cayenne pepper together in a small bowl. pat chicken wings dry with paper towels, then toss them in spice mixture until evenly coated. arrange wings in a single layer in the air fryer basket. cook wings in the preheated air fryer until crispy and golden brown, juices are clear, and meat is no longer pink at the bone, 20 to 25 minutes. an instant-read thermometer inserted near the bone should read 165 degrees f (74 degrees c). meanwhile, make the honey garlic sauce. stir honey, soy sauce, garlic, and ginger together in a small saucepan over medium heat. in a separate small bowl, whisk together cornstarch and water until smooth, then add to the saucepan. cook until sauce thickens, 1 to 2 minutes. transfer wings to a large bowl, pour honey garlic sauce over wings, and toss to coat evenly. garnish with chopped green onions and serve hot.","[""1 tablespoon baking powder"", ""1 teaspoon salt"", ""1/2 teaspoon black pepper"", ""1/2 teaspoon garlic powder"", ""1/2 teaspoon paprika"", ""1/4 teaspoon cayenne pepper"", ""2 pounds chicken wings"", ""1/2 cup honey"", ""1/4 cup soy sauce"", ""2 cloves garlic, minced"", ""1 tablespoon ginger root"", ""1 tablespoon cornstarch"", ""1 tablespoon water"", ""2 tablespoons green onions""]","[""asian"", ""chinese"", ""filipino"", ""japanese"", ""korean""]","[""sweet"", ""spicy"", ""savory"", ""umami""]",fast,58,medium,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",76,"[""plant_based"", ""sugary""]",moderate
Air Fryer Cheese Curds,"Use your air fryer to make cheese curds if you are looking to cut down on grease. Being from Wisconsin, fried cheese curds are everywhere, and quite often they are greasy. These air fried cheese curds give you the nice golden color of traditionally fried cheese curds, but allow the ooey gooey cheese to be the star. Go ahead and dipƒ??or dunk them in the roasted garlic aioli; your taste buds will thank you. JBJ Soul Seasoning blend from the JBJ Soul Kitchen gives these cheese curds a little extra kick. Perfect for parties, to enjoy while watching your favorite game, or when you need to feed your cheese curd cravingsƒ??these air fried cheese curds will become your new favorite.",10,"air fryer cheese curds air fryer recipes air fryer appetizer and snack recipes 3 cloves garlic, peeled 1 teaspoon extra virgin olive oil 1/2 teaspoon soul food seasoning 1/2 cup mayonnaise 1 tablespoon lemon juice for aioli: combine garlic cloves, olive oil, and the 1/2 teaspoon soul seasoning in a small bowl and toss to coat. wrap garlic tightly in a small piece of foil. preheat the air fryer to 375 degrees f (190 degrees c). place wrapped garlic in the air fryer basket, and air fry for 15 minutes. remove garlic from the air fryer and place in a small bowl. mash roasted garlic with the back of a spoon. let stand for 30 minutes. stir mayonnaise and lemon juice into the mashed garlic until well combined. cover and refrigerate for 30 minutes before serving. for cheese curds: place cheese curds on a large rimmed baking sheet lined with parchment paper. place the tray with cheese curds in the freezer for 30 minutes. meanwhile, whisk flour and 1 teaspoon soul seasoning together in a shallow bowl. whisk eggs and milk together in a separate bowl until smooth and cohesive. stir panko and remaining 3 teaspoons soul seasoning together in a third shallow bowl. remove cheese curds from the freezer. working in batches, dip cheese curds into the flour to coat well, then into the egg mixture, making sure to shake off any excess. dip curds again in flour mixture and again into egg mixture. finally, dip curds into panko to fully coat with breadcrumbs. use your dry hand to pack on panko so that it sticks well. place breaded cheese curds back onto the baking sheet. when all cheese curds are breaded, return the baking sheet to the freezer for 30 minutes. preheat the air fryer to 350 degrees f (175 degrees c). remove tray from freezer. using a mister, lightly spray both sides of the cheese curds with vegetable oil. coat the air fryer basket with nonstick cooking spray. working in batches, place cheese curds in the air fryer basket in a single layer. air fry until golden brown and crispy on both sides, flipping halfway through cooking time, 4 to 6 minutes. let stand in the air fryer for 1 to 2 minutes before serving. serve with roasted garlic aioli.","[""3 cloves garlic, peeled"", ""1 teaspoon extra virgin olive oil"", ""1/2 teaspoon soul food seasoning"", ""1/2 cup mayonnaise"", ""1 tablespoon lemon juice""]","[""asian"", ""european"", ""greek"", ""japanese"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""spicy"", ""sour"", ""savory"", ""umami""]",fast,99,hard,"[""nut_free"", ""halal"", ""kosher""]",76,"[""plant_based"", ""healthy_fats"", ""fried""]",moderate
Air Fryer Halloumi Fries,"Air fryer halloumi fries are so simple to make and perfect for a quick snack. The taco flavor is mild, allowing the cheese to star, but is brought to life when dipped into the sauces. I typically also serve them with salsaƒ??both are good partners for the halloumi fries.",6,"air fryer halloumi fries air fryer recipes air fryer appetizer and snack recipes 1/4 cup sour cream 1 tablespoon fresh cilantro 1 tablespoon lime juice 1 teaspoon lime zest 1/2 teaspoon riracha (optional) combine sour cream, cilantro, lime juice, lime zest, and sriracha in a small bowl; mix well, and refrigerate until ready to use. preheat the air fryer to 390 degrees f (199 degrees c). spray the air fryer basket with cooking spray or line with a disposable parchment liner. cut halloumi into fry-shaped sticks about 1/2-inch thick (about the size of steak fries). try to keep them uniform in size, so they will cook evenly. pat dry with a paper towel. mix flour, taco seasoning, and chili powder together in a bowl, add halloumi, and toss until well coated. place fries in the prepared air fryer basket, being sure not to overcrowd or overlap. spray lightly with cooking spray, and cook for 5 to 6 minutes. cooking time may vary depending on the size and brand of your air fryer. you may have to fry in batches. serve immediately with dipping sauce.","[""1/4 cup sour cream"", ""1 tablespoon fresh cilantro"", ""1 tablespoon lime juice"", ""1 teaspoon lime zest"", ""1/2 teaspoon riracha (optional)""]","[""american_region"", ""asian"", ""caribbean"", ""european"", ""french"", ""latin american"", ""russian"", ""thai"", ""vietnamese""]","[""spicy"", ""sour"", ""savory"", ""umami""]",fast,72,medium,"[""nut_free"", ""halal"", ""kosher""]",64,"[""fried""]",moderate
Air Fryer Cauliflower Bites,"These crispy cauliflower bites, cooked in the air fryer, make a great appetizer or side dish. We like them dipped in remoulade sauce.",5,"air fryer cauliflower bites air fryer recipes air fryer appetizer and snack recipes 2 large eggs 1/4 cup cream 1/2 teaspoon onion powder 1/4 teaspoon salt 1/4 teaspoon black pepper 1 cup pork rinds 1 cup shredded parmesan cheese 1 teaspoon smoked paprika 1/4 teaspoon cayenne pepper, or to taste 1/2 teaspoon salt, or to taste 4 cups cauliflower, cut into bite-sized pieces avocado oil cooking spray 1/2 cup remoulade sauce (optional) preheat the air fryer to 370 degrees f (188 degrees c). whisk eggs, cream, onion powder, salt, and black pepper together in a medium bowl. stir crushed pork rinds, parmesan cheese, smoked paprika, cayenne, and salt together in a large bowl. coat cauliflower pieces with the egg mixture, and then toss with the crumb mixture. place coated cauliflower pieces in a single layer on a parchment lined plate, and spray with oil. place cauliflower pieces, sprayed side down, in a single layer in the preheated air fryer. spray again with oil. you may need to fry cauliflower in batches. air fry for 7 minutes, turn carefully, and continue to air fry until tender and golden, about 3 minutes more. serve hot, with remoulade sauce for dipping.","[""2 large eggs"", ""1/4 cup cream"", ""1/2 teaspoon onion powder"", ""1/4 teaspoon salt"", ""1/4 teaspoon black pepper"", ""1 cup pork rinds"", ""1 cup shredded Parmesan cheese"", ""1 teaspoon smoked paprika"", ""1/4 teaspoon cayenne pepper, or to taste"", ""1/2 teaspoon salt, or to taste"", ""4 cups cauliflower, cut into bite-sized pieces"", ""avocado oil cooking spray"", ""1/2 cup remoulade sauce (optional)""]","[""european"", ""french"", ""italian""]","[""spicy"", ""savory"", ""umami""]",fast,50,medium,"[""gluten_free"", ""nut_free""]",74,"[""plant_based"", ""healthy_fats"", ""fried""]",moderate
Air Fryer Wonton Mozzarella Sticks,"Need a great appetizer? These cheesy air fried mozzarella sticks couldn't be easierƒ??and since they use the air fryer, the mess is a minimum! Serve with warm marinara or pizza sauce for dipping.",4,"air fryer wonton mozzarella sticks air fryer recipes air fryer appetizer and snack recipes 4 egg roll wrappers 4 mozzarella cheese sticks (or string cheese sticks) 1/4 cup water, or as needed cooking spray 3 tablespoons melted butter 2 tablespoons garlic 1 tablespoon chopped parsley 1/2 cup marinara sauce, or as needed for serving preheat the air fryer to 350 degrees f (175 degrees c). lay an egg roll wrapper on a cutting board, with corners facing up and down, and left and right. place a cheese stick across the center of wrapper. roll bottom corner of wrapper up over cheese stick. fold in left and right corners; seal with a dab of water. finish rolling up wrapper and seal top corner with a dab of water. repeat with other cheese sticks and wrappers. place the rolls in the basket of the air fryer. spray lightly with cooking spray. air fry for 5 minutes. open the air fryer; turn rolls over. air fry until golden and crisp, about 5 minutes more. meanwhile, stir melted butter, garlic, and parsley together in a small bowl. remove rolls to a plate and brush with garlic sauce.","[""4 egg roll wrappers"", ""4 mozzarella cheese sticks (or string cheese sticks)"", ""1/4 cup water, or as needed"", ""cooking spray"", ""3 tablespoons melted butter"", ""2 tablespoons garlic"", ""1 tablespoon chopped parsley"", ""1/2 cup marinara sauce, or as needed for serving""]","[""asian"", ""european"", ""french"", ""italian"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""savory"", ""umami""]",medium,37,medium,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",68,"[""plant_based"", ""fried""]",moderate
